Liste programmeurs #1;;;;;;;;;
COURRIEL;NOM;PRENOM;;;;;;;
bbrowett0@hexun.com;Byrle;Browett;javascript;java;python;;;;
dallix1@g.co;Dilan;Allix;c++;c;java;c#;;;
dsomerled2@va.gov;Dal;Somerled;swift;c#;;;;;
tgorcke3@simplemachines.org;Toiboid;Gorcke;sql;perl;c++;;;;
cvowdon4@sina.com.cn;Christye;Vowdon;c++;vb.net;vb6;;;;
apitrasso5@infoseek.co.jp;Arleyne;Pitrasso;python;php;perl;;;;
lblacksell6@creativecommons.org;Lonni;Blacksell;c++;java;;;;;
emarc7@cam.ac.uk;Ethelyn;Marc;c;javascript;typescript;;;;
amacauley8@people.com.cn;Agna;Macauley;typescript;c#;;;;;
mabys9@ucoz.ru;Maire;Abys;objective-c;;;;;;
galpsa@smh.com.au;Gwenny;Alps;pl-sql;c#;sql;;;;
gmockesrq@hibu.com;Glynnis;Mockes;python;swift;;;;;
houda@gmail.com;Jemili;Houda;c++;python;html;javascript;java;c#;php
anas@gmail.com;Anas;Rahim;java;c++;c#;javascript;typescript;sql;
